[2025-10-29 19:13:42,168: INFO: main: Welcome to our custom log]
[2025-11-07 11:32:04,006: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-11-07 11:32:04,083: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-07 11:51:02,968: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-11-07 11:51:02,977: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-07 11:53:00,800: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-11-07 11:53:00,806: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-07 11:53:00,809: INFO: common: created directory at: artifacts]
[2025-11-07 11:53:00,809: INFO: common: created directory at: artifacts/data_ingestion]
[2025-11-07 11:53:00,809: INFO: 1579108944: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-11-07 11:53:18,027: INFO: 1579108944: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-11-07 12:34:03,939: INFO: main: >>>>> stage Data Ingestion stage started <<<<<]
[2025-11-07 12:34:03,991: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-11-07 12:34:03,991: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-07 12:34:03,991: INFO: common: created directory at: artifacts]
[2025-11-07 12:34:04,002: INFO: common: created directory at: artifacts/data_ingestion]
[2025-11-07 12:34:04,002: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-11-07 12:34:19,287: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-11-07 12:34:20,204: INFO: main: >>>>> stage Data Ingestion stage completed <<<<<]
[2025-11-11 18:26:25,328: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-11-11 18:26:25,771: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-11 18:26:25,955: INFO: common: created directory at: artifacts]
[2025-11-11 18:26:26,068: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-11-11 18:29:42,712: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-11-11 18:29:42,712: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-11 18:29:42,725: INFO: common: created directory at: artifacts]
[2025-11-11 18:29:42,728: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-11-11 18:32:24,482: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-11-11 18:32:24,491: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-11 18:32:24,495: INFO: common: created directory at: artifacts]
[2025-11-11 18:32:24,499: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-11-11 18:32:25,637: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-11-11 18:33:21,028: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-11-11 18:33:21,036: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-11 18:33:21,043: INFO: common: created directory at: artifacts]
[2025-11-11 18:33:21,047: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-11-11 18:33:22,631: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-11-11 19:35:41,166: INFO: main: >>>>> stage Data Ingestion stage started <<<<<]
[2025-11-11 19:35:41,314: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-11-11 19:35:41,339: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-11 19:35:41,379: INFO: common: created directory at: artifacts]
[2025-11-11 19:35:41,379: INFO: common: created directory at: artifacts/data_ingestion]
[2025-11-11 19:35:41,379: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-11-11 19:35:58,637: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-11-11 19:36:00,624: INFO: main: >>>>> stage Data Ingestion stage completed <<<<<]
[2025-11-11 19:36:00,624: INFO: main: >>>>> stage Prepare Base Model started <<<<<]
[2025-11-11 19:36:00,637: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-11-11 19:36:00,642: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-11 19:36:00,642: INFO: common: created directory at: artifacts]
[2025-11-11 19:36:00,642: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-11-11 19:36:02,040: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-11-11 19:36:03,647: INFO: main: >>>>> stage Prepare Base Model completed <<<<<]
